property_id,bank_name,property,reserve_price,emd,emd_last_date,auction_start_date,auction_end_date,state,district,city
BARB133620200012,BANK OF BARODA,RESIDENTIAL,"63,25,000.00","6,33,000.00",,,,CHHATTISGARH,SURGUJA,AMBIKAPUR
BARB290420200202,BANK OF BARODA,INDUSTRIAL,"33,50,000.00","3,35,000.00",,,,CHHATTISGARH,RAIPUR,RAIPUR
BARB290420200204,BANK OF BARODA,RESIDENTIAL,"43,21,000.00","4,32,100.00",,,,CHHATTISGARH,DURG,DURG
BARB25850228,BANK OF BARODA,INDUSTRIAL,"22,90,00,000.00","2,29,00,000.00",,,,DADRA & NAGAR HAVELI,DADAR NAGAR HAVELI,Silvasa
SBINU74900MH2010,STATE BANK OF INDIA,INDUSTRIAL,"17,59,00,000.00","1,76,00,000.00",,,,DADRA & NAGAR HAVELI,DADAR NAGAR HAVELI,SILLI
PUNB0390300AYKA,PUNJAB NATIONAL BANK,COMMERCIAL,"31,11,000.00","3,15,000.00",,,,DAMAN & DIU,DAMAN,DABHEL
BARB104220200001,BANK OF BARODA,COMMERCIAL,"13,10,000.00","1,31,000.00",,,,GOA,NORTH GOA,MAPUSA
BARB612620200130,BANK OF BARODA,RESIDENTIAL,"75,91,500.00","7,59,150.00",,,,GOA,SOUTH GOA,SALECETE
BARB612620200131,BANK OF BARODA,RESIDENTIAL,"71,00,000.00","7,10,000.00",,,,GOA,SOUTH GOA,SALECETE
BARB612620200132,BANK OF BARODA,RESIDENTIAL,"29,07,000.00","2,90,700.00",,,,GOA,SOUTH GOA,Quepem
BARB612620200133,BANK OF BARODA,RESIDENTIAL,"31,46,000.00","3,14,600.00",,,,GOA,SOUTH GOA,Quepem
CORP1569,UNION BANK OF INDIA,RESIDENTIAL,"32,00,000.00","3,20,000.00",,,,GOA,NORTH GOA,BARDEZ
BARB003020200013,BANK OF BARODA,OTHERS,"31,45,000.00","3,14,500.00",,,,GUJARAT,MORBI,CHANCHAVADARADA
BARB003020200014,BANK OF BARODA,RESIDENTIAL,"91,04,000.00","9,10,400.00",,,,GUJARAT,MORBI,CHANCHAVADARADA
BARB003020200015,BANK OF BARODA,RESIDENTIAL,"3,27,29,000.00","32,72,900.00",,,,GUJARAT,RAJKOT,RAJKOT
BARB003320200006,BANK OF BARODA,INDUSTRIAL,"50,37,000.00","5,03,700.00",,,,GUJARAT,SURENDRANAGAR,Surendranagar
